epoch,loss,val_acc
1,3.9830621124073198,0.3745
2,3.8718544054942527,0.3825
3,3.811911467533962,0.3805
4,3.770879320278289,0.378
5,3.737801667231663,0.3815
6,3.6939713301931976,0.38
7,3.6363889852147193,0.3825
