run_id,epoch,timestamp,epoch_secs,elapsed_secs,loss,val_acc,lr,best_acc
20260407_194304,1,2026-04-07T20:00:08,1023.08,1024.22,0.1117,0.2447,3.75e-06,0.2447
20260407_194304,2,2026-04-07T20:11:13,663.1,1689.39,0.0028,0.3137,7.50e-06,0.3137
20260407_194304,3,2026-04-07T20:24:10,774.21,2465.55,0.0022,0.4035,1.12e-05,0.4035
20260407_194304,4,2026-04-07T20:35:20,667.89,3135.62,0.0018,0.5153,1.50e-05,0.5153
20260407_194304,5,2026-04-07T20:46:17,655.46,3793.38,0.0015,0.575,1.50e-05,0.575
20260407_194304,6,2026-04-07T21:00:25,845.23,4640.71,0.0013,0.6023,1.50e-05,0.6023
20260407_194304,7,2026-04-07T21:14:20,832.79,5475.55,0.0012,0.6213,1.49e-05,0.6213
20260407_194304,8,2026-04-07T21:26:27,724.88,6202.47,0.0011,0.632,1.49e-05,0.632
20260407_194304,9,2026-04-07T21:37:14,645.34,6849.85,0.0011,0.6414,1.48e-05,0.6414
20260407_194304,10,2026-04-07T21:47:51,634.59,7486.66,0.001,0.6483,1.48e-05,0.6483
20260407_194304,11,2026-04-07T21:58:30,636.95,8125.6,0.001,0.651,1.47e-05,0.651
20260407_194304,12,2026-04-07T22:09:07,635.51,8763.13,0.0009,0.6538,1.46e-05,0.6538
20260407_194304,13,2026-04-07T22:20:23,673.32,9438.64,0.0009,0.6588,1.45e-05,0.6588
20260407_194304,14,2026-04-07T22:31:01,636.39,10077.25,0.0009,0.662,1.44e-05,0.662
20260407_194304,15,2026-04-07T22:41:42,638.62,10718.03,0.0008,0.6648,1.42e-05,0.6648
20260407_194304,16,2026-04-07T22:52:26,643.87,11361.9,0.0008,0.6646,1.41e-05,0.6648
20260407_194304,17,2026-04-07T23:06:07,818.23,12182.48,0.0008,0.6658,1.39e-05,0.6658
20260407_194304,18,2026-04-07T23:19:22,793.16,12977.78,0.0008,0.6658,1.38e-05,0.6658
20260407_194304,19,2026-04-07T23:32:34,789.59,13769.54,0.0007,0.666,1.36e-05,0.666
20260407_194304,20,2026-04-07T23:45:00,744.37,14516.18,0.0007,0.6675,1.34e-05,0.6675
20260407_194304,21,2026-04-07T23:56:40,699.54,15215.72,0.0007,0.6667,1.32e-05,0.6675
20260407_194304,22,2026-04-08T00:07:27,644.64,15862.67,0.0007,0.6686,1.30e-05,0.6686
20260407_194304,23,2026-04-08T00:18:09,642.76,16505.43,0.0006,0.6685,1.28e-05,0.6686
20260407_194304,24,2026-04-08T00:28:55,645.6,17151.03,0.0006,0.6667,1.26e-05,0.6686
20260407_194304,25,2026-04-08T00:40:30,695.0,17846.02,0.0006,0.6668,1.23e-05,0.6686
20260407_194304,26,2026-04-08T00:51:16,645.64,18491.67,0.0006,0.6661,1.21e-05,0.6686
20260407_194304,27,2026-04-08T01:02:00,644.76,19136.43,0.0006,0.6665,1.19e-05,0.6686
20260407_194304,28,2026-04-08T01:12:47,646.02,19782.45,0.0005,0.6662,1.16e-05,0.6686
20260407_194304,29,2026-04-08T01:24:23,696.49,20478.94,0.0005,0.6655,1.13e-05,0.6686
20260407_194304,30,2026-04-08T01:35:09,645.62,21124.55,0.0005,0.6658,1.11e-05,0.6686
20260407_194304,31,2026-04-08T01:45:55,645.99,21770.55,0.0005,0.6652,1.08e-05,0.6686
20260407_194304,32,2026-04-08T01:56:38,643.15,22413.69,0.0005,0.6659,1.05e-05,0.6686
20260407_194304,33,2026-04-08T02:08:12,694.65,23108.35,0.0005,0.6643,1.02e-05,0.6686
20260407_194304,34,2026-04-08T02:19:10,657.11,23765.45,0.0005,0.6648,9.94e-06,0.6686
20260407_194304,35,2026-04-08T02:30:25,675.06,24440.51,0.0005,0.6662,9.64e-06,0.6686
20260407_194304,36,2026-04-08T02:41:11,646.01,25086.52,0.0004,0.667,9.34e-06,0.6686
20260407_194304,37,2026-04-08T02:51:56,645.22,25731.74,0.0004,0.6653,9.04e-06,0.6686
20260407_194304,38,2026-04-08T03:02:46,650.61,26382.36,0.0004,0.6651,8.73e-06,0.6686
20260407_194304,39,2026-04-08T03:14:07,680.46,27062.82,0.0004,0.6649,8.43e-06,0.6686
20260407_194304,40,2026-04-08T03:24:48,640.98,27703.8,0.0004,0.6657,8.12e-06,0.6686
