run_id,epoch,timestamp,epoch_secs,elapsed_secs,loss,val_acc,lr,best_acc
20260408_044645,1,2026-04-08T04:56:55,608.17,609.32,0.0806,0.2826,7.50e-06,0.2826
20260408_044645,2,2026-04-08T05:07:18,621.27,1232.92,0.0026,0.3559,1.50e-05,0.3559
20260408_044645,3,2026-04-08T05:17:50,629.2,1864.63,0.0022,0.4726,1.50e-05,0.4726
20260408_044645,4,2026-04-08T05:28:31,638.41,2505.34,0.0018,0.5451,1.49e-05,0.5451
20260408_044645,5,2026-04-08T05:39:38,664.73,3172.54,0.0017,0.5881,1.48e-05,0.5881
20260408_044645,6,2026-04-08T05:50:50,670.52,3845.05,0.0016,0.6121,1.46e-05,0.6121
20260408_044645,7,2026-04-08T06:01:26,633.04,4480.23,0.0015,0.6278,1.44e-05,0.6278
20260408_044645,8,2026-04-08T06:12:01,632.54,5115.34,0.0014,0.6399,1.41e-05,0.6399
20260408_044645,9,2026-04-08T06:22:29,626.05,5743.6,0.0014,0.6487,1.38e-05,0.6487
20260408_044645,10,2026-04-08T06:33:02,631.14,6376.94,0.0013,0.6555,1.34e-05,0.6555
20260408_044645,11,2026-04-08T06:44:22,677.05,7056.25,0.0013,0.6609,1.30e-05,0.6609
20260408_044645,12,2026-04-08T06:54:55,630.93,7689.53,0.0013,0.6631,1.26e-05,0.6631
20260408_044645,13,2026-04-08T07:05:32,635.0,8326.58,0.0012,0.6673,1.21e-05,0.6673
20260408_044645,14,2026-04-08T07:16:04,630.33,8959.02,0.0012,0.6682,1.16e-05,0.6682
20260408_044645,15,2026-04-08T07:27:19,672.16,9633.2,0.0012,0.6712,1.11e-05,0.6712
20260408_044645,16,2026-04-08T07:37:59,638.77,10273.97,0.0011,0.6723,1.05e-05,0.6723
20260408_044645,17,2026-04-08T07:48:34,632.51,10908.46,0.0011,0.6724,9.94e-06,0.6724
20260408_044645,18,2026-04-08T07:59:24,647.59,11558.26,0.0011,0.6744,9.34e-06,0.6744
20260408_044645,19,2026-04-08T08:13:44,860.45,12418.71,0.0011,0.6722,8.73e-06,0.6744
20260408_044645,20,2026-04-08T08:30:43,1016.62,13437.41,0.001,0.6754,8.12e-06,0.6754
20260408_044645,21,2026-04-08T08:50:34,1188.95,14628.43,0.001,0.6756,7.50e-06,0.6756
20260408_044645,22,2026-04-08T09:11:41,1267.21,15895.63,0.001,0.6751,6.88e-06,0.6756
20260408_044645,23,2026-04-08T09:33:17,1296.28,17191.91,0.001,0.6753,6.27e-06,0.6756
20260408_044645,24,2026-04-08T09:52:05,1127.95,18319.87,0.001,0.6752,5.66e-06,0.6756
20260408_044645,25,2026-04-08T10:13:09,1263.75,19583.62,0.0009,0.6749,5.06e-06,0.6756
20260408_044645,26,2026-04-08T10:34:53,1304.4,20888.02,0.0009,0.6749,4.49e-06,0.6756
20260408_044645,27,2026-04-08T10:57:23,1349.25,22237.27,0.0009,0.6751,3.93e-06,0.6756
20260408_044645,28,2026-04-08T11:30:32,1988.93,24226.2,0.0009,0.6755,3.40e-06,0.6756
20260408_044645,29,2026-04-08T11:52:47,1335.57,25561.77,0.0009,0.6753,2.89e-06,0.6756
20260408_044645,30,2026-04-08T12:16:28,1421.19,26982.96,0.0009,0.6751,2.42e-06,0.6756
20260408_044645,31,2026-04-08T12:34:58,1110.07,28093.04,0.0009,0.6747,1.98e-06,0.6756
20260408_044645,32,2026-04-08T13:05:17,1818.35,29911.39,0.0009,0.675,1.58e-06,0.6756
20260408_044645,33,2026-04-08T13:26:33,1276.43,31187.82,0.0008,0.6751,1.22e-06,0.6756
20260408_044645,34,2026-04-08T13:48:18,1305.14,32492.96,0.0008,0.675,9.04e-07,0.6756
20260408_044645,35,2026-04-08T14:07:15,1136.65,33629.62,0.0008,0.6744,6.32e-07,0.6756
20260408_044645,36,2026-04-08T14:34:58,1663.46,35293.08,0.0008,0.6749,4.06e-07,0.6756
20260408_044645,37,2026-04-08T15:01:11,1572.53,36865.6,0.0008,0.6751,2.29e-07,0.6756
20260408_044645,38,2026-04-08T15:22:26,1274.68,38140.29,0.0008,0.675,1.02e-07,0.6756
20260408_044645,39,2026-04-08T15:46:30,1444.31,39584.59,0.0008,0.675,2.56e-08,0.6756
20260408_044645,40,2026-04-08T16:16:20,1789.97,41374.56,0.0008,0.6749,0.00e+00,0.6756
